Contact External ID,First Name,Last Name,Phone,Email,City,Age Band,Source,WhatsApp Opt-in,DND,Journey Stage,Tier,SKU,Subscription Status,Adviser Owner,Income Band,Corpus Band,Savings Band,Aspiration,Signed Up,Reveal Seen,Paid,Data Complete,Plan Built,Plan Read,Last Call,Next Review,Renewal Due,Last Activity,Onboarding %,KYC Status,AA Status,FP Status,IP Status,Actions Done,Actions Total,Consent Valid Till,Source Completeness,Sharpen Count,Last Manual Update,DIFM Prospect Flag,Adviser Continuity,Last Adviser,Profile Fulfilment %,Admin Link,Is Seed Topup
P00331,Ganesh,Iyer,9000032734,ganesh.iyer.450@example.com,Bengaluru,25 to 29,community,true,false,S21,diwm,diwm,active,Adviser 03,10 to 25 lakhs,5 to 25 lakhs,"More than 40%, I live well below my means",Freedom,2026-05-01,2026-05-01,2026-05-02,2026-05-09,2026-05-09,,2026-06-01,2026-11-05,2026-10-29,2026-09-22,100,verified,partial,built,ready,0,3,2026-10-30,yes,0,2026-05-09T07:42:26+05:30,,off,Adviser 03,100,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00331,false
P00332,Siddharth,Patel,9000053631,siddharth.patel.455@example.com,Mumbai,25 to 29,community,true,false,S22,diwm,diwm,active,Adviser 04,50 lakhs to 1 crore,25 lakhs to 1 crore,"More than 40%, I live well below my means",Security,2026-05-05,2026-05-05,2026-05-08,2026-05-14,2026-05-14,2026-05-16,2026-07-15,2026-11-10,2026-10-05,2026-09-19,100,verified,failed,read,done,5,5,,yes,0,2026-07-15T11:10:00+05:30,,off,Adviser 01,98,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00332,false
P00333,Riddhi,Gokhale,9000002458,,Mumbai,30 to 34,community,true,false,S2,free,,,Adviser 04,10 to 25 lakhs,25 lakhs to 1 crore,"Around 40%, some serious money",Family,2026-05-01,2026-05-01,,,,,,,,2026-05-04,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00333,false
P00334,Meenakshi,Subramanian,9000049481,meenakshi.subramanian.583@example.com,Hyderabad,35 to 39,web_reveal,true,false,S2,free,,,Adviser 01,10 to 25 lakhs,1 to 5 crores,"Around 25%, meaningful amounts",Generosity,2026-05-05,2026-05-06,,,,,,,,2026-07-27,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00334,false
P00336,Suresh,Nair,9000026098,suresh.nair.454@example.com,Bengaluru,35 to 39,web_reveal,true,false,S2,free,,,Adviser 03,50 lakhs to 1 crore,25 lakhs to 1 crore,"Around 40%, some serious money",Freedom,2026-04-29,2026-04-29,,,,,,,,2026-07-20,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00336,false
P00342,Karthik,Murthy,9000081758,,Bengaluru,25 to 29,community,true,false,S2,free,,,Adviser 06,Under 10 lakhs,5 to 25 lakhs,"Around 40%, some serious money",Freedom,2026-05-01,2026-05-02,,,,,,,,2026-05-05,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00342,false
P00344,Meenakshi,Pai,9000015193,meenakshi.pai.649@example.com,Chennai,30 to 34,community,true,true,S1,free,,,Adviser 02,50 lakhs to 1 crore,,,,2026-05-02,,,,,,,,,2026-05-02,0,not_started,,not_started,,,,,,,,,off,,31,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00344,false
P00346,Hetal,Thakkar,9000039856,hetal.thakkar.633@example.com,Mumbai,25 to 29,web_reveal,true,false,S2,free,,,Adviser 01,10 to 25 lakhs,Under 5 lakhs,"More than 40%, I live well below my means",Generosity,2026-05-01,2026-05-02,,,,,,,,2026-07-23,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00346,false
P00347,Revathi,Menon,9000074374,,Bengaluru,25 to 29,community,true,false,S1,free,,,Adviser 03,10 to 25 lakhs,5 to 25 lakhs,,,2026-05-02,,,,,,,,,2026-05-03,0,not_started,,not_started,,,,,,,,,off,,38,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00347,false
P00348,Tarun,Chopra,9000055548,tarun.chopra.484@example.com,Kolkata,35 to 39,community,true,false,S21,diy,diy,active,Adviser 01,25 to 50 lakhs,25 lakhs to 1 crore,"More than 40%, I live well below my means",Family,2026-05-02,2026-05-02,2026-05-02,2026-05-07,2026-05-07,,2026-05-28,2026-11-03,2026-10-29,2026-09-21,100,verified,not_connected,built,ready,0,4,,yes,0,2026-05-07T09:30:43+05:30,,off,Adviser 04,100,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00348,false
P00349,Naina,Khanna,9000001194,naina.khanna.735@example.com,Delhi,35 to 39,community,true,false,S1,free,,,Adviser 05,,,,,2026-04-29,,,,,,,,,2026-05-01,0,not_started,,not_started,,,,,,,,,off,,19,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00349,false
P00351,Siddharth,Deshmukh,9000012372,,Ahmedabad,30 to 34,corporate_session,true,false,S1,free,,,Adviser 03,10 to 25 lakhs,5 to 25 lakhs,"More than 40%, I live well below my means",,2026-05-04,,,,,,,,,2026-05-05,0,not_started,,not_started,,,,,,,,,off,,44,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00351,false
P00352,Aakash,Mishra,9000057296,,Delhi,35 to 39,corporate_session,true,false,S2,free,,,Adviser 02,50 lakhs to 1 crore,1 to 5 crores,"Around 25%, meaningful amounts",Legacy,2026-05-01,2026-05-03,,,,,,,,2026-05-06,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00352,false
P00353,Kinjal,Patil,9000037605,,Mumbai,25 to 29,community,true,false,S1,free,,,Adviser 02,,,,,2026-04-30,,,,,,,,,2026-05-01,0,not_started,,not_started,,,,,,,,,off,,12,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00353,false
P00355,Ruchi,Bhatia,9000027779,,Noida,40 to 44,referral,false,false,S14,difm,,adviser relationship,Harish,,,,,2026-05-01,,,,,,,2026-10-28,,2026-09-18,75,"verified (assisted onboarding, M12)",connected,not applicable (adviser relationship),,,,2026-10-31,,0,2026-05-09T09:15:10+05:30,,off,,82,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00355,false
P00357,Karan,Singh,9000058185,,Gurugram,35 to 39,community,true,false,S2,free,,,Adviser 01,25 to 50 lakhs,25 lakhs to 1 crore,"Around 25%, meaningful amounts",Security,2026-05-01,2026-05-01,,,,,,,,2026-05-04,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00357,false
P00358,Nikhil,Sharma,9000076028,nikhil.sharma.206@example.com,Gurugram,35 to 39,community,true,false,S2,free,,,Adviser 06,25 to 50 lakhs,25 lakhs to 1 crore,"More than 40%, I live well below my means",Family,2026-04-30,2026-04-30,,,,,,,,2026-07-21,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00358,false
P00360,Revathi,Hegde,9000062902,,Bengaluru,25 to 29,referral,false,false,S2,free,,,Adviser 01,10 to 25 lakhs,5 to 25 lakhs,"Around 40%, some serious money",Freedom,2026-05-04,2026-05-05,,,,,,,,2026-05-06,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00360,false
P00361,Akshay,Agarwal,9000053051,,Noida,35 to 39,community,true,false,S2,free,,,Adviser 01,25 to 50 lakhs,25 lakhs to 1 crore,"More than 40%, I live well below my means",Generosity,2026-05-03,2026-05-04,,,,,,,,2026-05-07,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00361,false
P00362,Aparna,Varma,9000035241,,Hyderabad,30 to 34,community,true,false,S1,free,,,Adviser 05,,,,,2026-05-01,,,,,,,,,2026-05-02,0,not_started,,not_started,,,,,,,,,off,,12,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00362,false
P00363,Meera,Srivastava,9000074043,meera.srivastava.627@example.com,Gurugram,30 to 34,web_reveal,true,false,S2,free,,,Adviser 06,25 to 50 lakhs,25 lakhs to 1 crore,"Around 40%, some serious money",Security,2026-05-04,2026-05-04,,,,,,,,2026-07-25,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00363,false
P00365,Vidya,Chandran,9000075924,,Hyderabad,40 to 44,community,true,false,S2,free,,,Adviser 06,50 lakhs to 1 crore,Over 5 crores,"Around 25%, meaningful amounts",Security,2026-05-01,2026-05-01,,,,,,,,2026-05-04,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00365,false
P00370,Mansi,Chitale,9000069890,,Pune,30 to 34,organic,true,false,S1,free,,,Adviser 04,,,,,2026-05-04,,,,,,,,,2026-05-05,0,not_started,,not_started,,,,,,,,,off,,25,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00370,false
P00371,Rohit,Chitale,9000062273,rohit.chitale.445@example.com,Chennai,40 to 44,web_reveal,true,false,S2,free,,,Adviser 03,50 lakhs to 1 crore,1 to 5 crores,"More than 40%, I live well below my means",Freedom,2026-05-01,2026-05-01,,,,,,,,2026-07-22,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00371,false
P00373,Harpreet,Gupta,9000030509,,Gurugram,30 to 34,referral,true,false,S2,free,,,Adviser 04,25 to 50 lakhs,25 lakhs to 1 crore,"More than 40%, I live well below my means",Security,2026-05-01,2026-05-01,,,,,,,,2026-05-04,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00373,false
P00374,Yogesh,Vora,9000082460,,Mumbai,35 to 39,corporate_session,false,false,S1,free,,,Adviser 05,25 to 50 lakhs,25 lakhs to 1 crore,"Around 25%, meaningful amounts",,2026-05-01,,,,,,,,,2026-05-01,0,not_started,,not_started,,,,,,,,,off,,44,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00374,false
P00377,Indrani,Saha,9000087854,,Delhi,40 to 44,community,true,false,S1,free,,,Adviser 04,50 lakhs to 1 crore,,,,2026-05-02,,,,,,,,,2026-05-03,0,not_started,,not_started,,,,,,,,,off,,31,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00377,false
P00381,Gurpreet,Singh,9000084034,gurpreet.singh.327@example.com,Gurugram,25 to 29,community,true,false,S8,diy,diy,active,Adviser 05,10 to 25 lakhs,Under 5 lakhs,"Around 25%, meaningful amounts",Legacy,2026-05-02,2026-05-02,2026-05-02,2026-05-10,2026-05-10,2026-05-12,,2026-11-06,2026-10-29,2026-09-21,100,verified,cas_uploaded,read,ready,0,3,,yes,0,2026-09-11T18:52:32+05:30,,off,,98,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00381,false
P00385,Ramya,Naidu,9000033385,ramya.naidu.322@example.com,Kolkata,30 to 34,referral,false,false,S7,diwm,diwm,active,Adviser 02,25 to 50 lakhs,25 lakhs to 1 crore,"More than 40%, I live well below my means",Freedom,2026-05-09,2026-05-09,2026-05-12,2026-05-30,2026-05-30,2026-06-07,,2026-11-26,2026-11-08,2026-09-18,100,verified,cas_uploaded,read,executing,3,5,,yes,2,2026-06-26T23:35:51+05:30,,off,,100,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00385,false
P00390,Lakshmi,Prasad,9000012154,lakshmi.prasad.995@example.com,Chennai,35 to 39,community,true,false,S1,free,,,Adviser 02,,,,,2026-05-05,,,,,,,,,2026-05-06,0,not_started,,not_started,,,,,,,,,off,,25,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00390,false
P00391,Vishnu,Krishnan,9000064996,vishnu.krishnan.236@example.com,Hyderabad,30 to 34,organic,true,false,S2b,free,,,Adviser 01,25 to 50 lakhs,25 lakhs to 1 crore,"More than 40%, I live well below my means",Generosity,2026-05-09,2026-05-09,,,,,,,,2026-07-31,20,verified,,not_started,,,,,,,,,off,,88,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00391,false
P00392,Chaitanya,Chandran,9000075592,chaitanya.chandran.457@example.com,Bengaluru,30 to 34,corporate_session,true,false,S22,diy,diy,active,Adviser 05,10 to 25 lakhs,5 to 25 lakhs,"More than 40%, I live well below my means",Freedom,2026-05-04,2026-05-05,2026-05-05,2026-05-24,2026-05-24,2026-05-24,2026-06-13,2026-11-20,2026-11-01,2026-09-21,100,verified,connected,read,executing,3,4,2026-10-27,yes,0,2026-05-24T10:18:05+05:30,,off,Adviser 02,100,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00392,false
P00395,Mihir,Gokhale,9000076601,mihir.gokhale.817@example.com,Pune,30 to 34,web_reveal,true,false,S2,free,,,Adviser 01,25 to 50 lakhs,25 lakhs to 1 crore,"More than 40%, I live well below my means",Family,2026-05-08,2026-05-08,,,,,,,,2026-07-29,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00395,false
P00397,Jasleen,Tandon,9000012677,jasleen.tandon.326@example.com,Bengaluru,35 to 39,organic,true,false,S8,diwm,diwm,active,Adviser 02,Under 10 lakhs,5 to 25 lakhs,"More than 40%, I live well below my means",Freedom,2026-05-03,2026-05-04,2026-05-04,2026-05-05,2026-05-05,2026-05-12,,2026-11-01,2026-10-31,2026-09-15,100,verified,connected,read,ready,0,4,2026-11-01,yes,0,2026-05-05T22:45:52+05:30,,off,,98,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00397,false
P00402,Aditya,Arora,9000089433,aditya.arora.397@example.com,Bengaluru,30 to 34,community,true,false,S13,diy,diy,lapsed,Adviser 03,25 to 50 lakhs,1 to 5 crores,"More than 40%, I live well below my means",Security,2026-05-05,2026-05-05,2026-05-05,2026-05-19,2026-05-19,2026-05-28,,2026-11-15,,2026-09-14,100,verified,partial,read,executing,4,7,2026-11-06,yes,1,2026-06-20T03:42:03+05:30,rule,off,,100,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00402,false
P00404,Debasish,Pradhan,9000095080,debasish.pradhan.132@example.com,Kolkata,30 to 34,community,true,false,S2,free,,,Adviser 05,25 to 50 lakhs,25 lakhs to 1 crore,"More than 40%, I live well below my means",Security,2026-05-05,2026-05-05,,,,,,,,2026-07-27,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00404,false
P00406,Nirav,Pandya,9000087192,,Mumbai,30 to 34,community,true,false,S2,free,,,Adviser 03,Under 10 lakhs,25 lakhs to 1 crore,"More than 40%, I live well below my means",Security,2026-05-06,2026-05-07,,,,,,,,2026-05-10,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00406,false
P00409,Sai,Rajan,9000093408,sai.rajan.556@example.com,Bengaluru,25 to 29,web_reveal,true,false,S2,free,,,Adviser 06,10 to 25 lakhs,5 to 25 lakhs,"Around 25%, meaningful amounts",Security,2026-05-05,2026-05-05,,,,,,,,2026-07-26,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00409,false
P00412,Anand,Raman,9000087392,,Chennai,30 to 34,community,true,false,S2,free,,,Adviser 02,10 to 25 lakhs,25 lakhs to 1 crore,"Around 40%, some serious money",Security,2026-05-06,2026-05-07,,,,,,,,2026-05-10,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00412,false
P00413,Ketan,Gokhale,9000076910,ketan.gokhale.500@example.com,Mumbai,25 to 29,community,true,false,S2,free,,,Adviser 06,10 to 25 lakhs,25 lakhs to 1 crore,"More than 40%, I live well below my means",Generosity,2026-05-13,2026-05-13,,,,,,,,2026-08-03,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00413,false
P00414,Nithya,Kamath,9000011904,,Hyderabad,35 to 39,community,true,false,S2,free,,,Adviser 05,50 lakhs to 1 crore,25 lakhs to 1 crore,"Around 40%, some serious money",Legacy,2026-05-11,2026-05-12,,,,,,,,2026-05-15,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00414,false
P00415,Amruta,Chitale,9000072330,,Ahmedabad,35 to 39,community,true,false,S2,free,,,Adviser 02,10 to 25 lakhs,5 to 25 lakhs,"More than 40%, I live well below my means",Generosity,2026-05-07,2026-05-08,,,,,,,,2026-05-11,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00415,false
P00419,Sahil,Chopra,9000046003,sahil.chopra.741@example.com,Lucknow,40 to 44,community,true,false,S2,free,,,Adviser 04,10 to 25 lakhs,25 lakhs to 1 crore,"Around 40%, some serious money",Family,2026-05-07,2026-05-10,,,,,,,,2026-07-31,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00419,false
P00426,Priyanka,Majumdar,9000026848,priyanka.majumdar.379@example.com,Kolkata,30 to 34,web_reveal,true,false,S2,free,,,Adviser 06,25 to 50 lakhs,25 lakhs to 1 crore,"Around 40%, some serious money",Family,2026-05-09,2026-05-11,,,,,,,,2026-08-01,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00426,false
P00427,Meenakshi,Raman,9000082229,meenakshi.raman.529@example.com,Bengaluru,under 25,community,true,true,S2,free,,,Adviser 01,10 to 25 lakhs,Under 5 lakhs,"Around 40%, some serious money",Freedom,2026-05-07,2026-05-07,,,,,,,,2026-07-28,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00427,false
P00428,Rohan,Arora,9000092626,rohan.arora.354@example.com,Gurugram,30 to 34,community,true,false,S2,free,,,Adviser 05,25 to 50 lakhs,25 lakhs to 1 crore,"Around 40%, some serious money",Family,2026-05-07,2026-05-07,,,,,,,,2026-07-28,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00428,false
P00429,Shreyasi,Nayak,9000008179,shreyasi.nayak.144@example.com,Kolkata,40 to 44,web_reveal,true,false,S2,free,,,Adviser 06,25 to 50 lakhs,25 lakhs to 1 crore,"More than 40%, I live well below my means",Family,2026-05-08,2026-05-09,,,,,,,,2026-07-30,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00429,false
P00430,Rajarshi,Mukherjee,9000046804,,Delhi,25 to 29,organic,false,false,S1,free,,,Adviser 06,25 to 50 lakhs,5 to 25 lakhs,,,2026-05-14,,,,,,,,,2026-05-14,0,not_started,,not_started,,,,,,,,,off,,38,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00430,false
P00431,Vishnu,Prasad,9000034816,,Chennai,under 25,corporate_session,true,false,S2,free,,,Adviser 04,10 to 25 lakhs,5 to 25 lakhs,"Around 25%, meaningful amounts",Freedom,2026-05-06,2026-05-06,,,,,,,,2026-05-10,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00431,false
P00432,Yogesh,Sawant,9000083928,yogesh.sawant.453@example.com,Mumbai,25 to 29,web_reveal,false,false,S2,free,,,Adviser 06,Under 10 lakhs,5 to 25 lakhs,"More than 40%, I live well below my means",Freedom,2026-05-07,2026-05-07,,,,,,,,2026-07-28,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00432,false
P00433,Sowmya,Balakrishnan,9000045495,sowmya.balakrishnan.163@example.com,Hyderabad,30 to 34,web_reveal,true,false,S2,free,,,Adviser 02,10 to 25 lakhs,5 to 25 lakhs,"More than 40%, I live well below my means",Freedom,2026-05-08,2026-05-09,,,,,,,,2026-07-30,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00433,false
P00434,Mihir,Joshi,9000070324,mihir.joshi.993@example.com,Mumbai,30 to 34,community,true,false,S1,free,,,Adviser 05,,,,,2026-05-10,,,,,,,,,2026-05-11,0,not_started,,not_started,,,,,,,,,off,,12,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00434,false
P00435,Heena,Sawant,9000079372,,Pune,30 to 34,community,true,false,S2,free,,,Adviser 06,10 to 25 lakhs,5 to 25 lakhs,"More than 40%, I live well below my means",Legacy,2026-05-11,2026-05-13,,,,,,,,2026-05-16,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00435,false
P00438,Deepa,Srinivasan,9000099456,,Hyderabad,30 to 34,corporate_session,true,false,S2,free,,,Adviser 03,25 to 50 lakhs,25 lakhs to 1 crore,"Around 25%, meaningful amounts",Family,2026-05-07,2026-05-07,,,,,,,,2026-05-10,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00438,false
P00441,Naina,Tiwari,9000099907,naina.tiwari.404@example.com,Noida,25 to 29,web_reveal,true,false,S13,diy,diy,lapsed,Adviser 05,10 to 25 lakhs,25 lakhs to 1 crore,"Around 40%, some serious money",Freedom,2026-05-08,2026-05-08,2026-05-08,2026-05-24,2026-05-24,,,2026-11-20,,2026-09-14,100,verified,cas_uploaded,built,ready,0,3,,yes,0,2026-05-18T07:01:42+05:30,,off,,100,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00441,false
P00446,Prachi,Shinde,9000025178,prachi.shinde.136@example.com,Pune,30 to 34,community,true,false,S2,free,,,Adviser 03,10 to 25 lakhs,5 to 25 lakhs,"Around 40%, some serious money",Freedom,2026-05-08,2026-05-08,,,,,,,,2026-07-30,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00446,false
P00447,Harini,Murthy,9000056144,,Hyderabad,30 to 34,community,true,false,S2,free,,,Adviser 04,50 lakhs to 1 crore,25 lakhs to 1 crore,"More than 40%, I live well below my means",Security,2026-05-11,2026-05-11,,,,,,,,2026-05-14,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00447,false
P00448,Janani,Raman,9000082243,janani.raman.939@example.com,Bengaluru,30 to 34,web_reveal,true,false,S1,free,,,Adviser 03,,,,,2026-05-14,,,,,,,,,2026-05-15,0,not_started,,not_started,,,,,,,,,off,,12,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00448,false
P00449,Jigar,Patel,9000021373,jigar.patel.143@example.com,Mumbai,30 to 34,community,true,false,S2,free,,,Adviser 04,25 to 50 lakhs,Under 5 lakhs,"More than 40%, I live well below my means",Freedom,2026-05-09,2026-05-09,,,,,,,,2026-07-31,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00449,false
P00451,Janani,Iyengar,9000042692,,Bengaluru,30 to 34,community,true,false,S2,free,,,Adviser 04,Under 10 lakhs,5 to 25 lakhs,"More than 40%, I live well below my means",Generosity,2026-05-08,2026-05-08,,,,,,,,2026-05-12,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00451,false
P00452,Vignesh,Nair,9000025468,vignesh.nair.700@example.com,Gurugram,30 to 34,community,true,false,S1,free,,,Adviser 03,,,,,2026-05-09,,,,,,,,,2026-05-10,0,not_started,,not_started,,,,,,,,,off,,25,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00452,false
P00453,Yogesh,Bhosale,9000069320,yogesh.bhosale.237@example.com,Pune,30 to 34,corporate_session,true,false,S2b,free,,,Adviser 03,10 to 25 lakhs,25 lakhs to 1 crore,"Around 40%, some serious money",Freedom,2026-05-12,2026-05-13,,,,,,,,2026-08-03,20,verified,,not_started,,,,,,,,,off,,88,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00453,false
P00454,Bhavana,Chandran,9000021223,,Chennai,35 to 39,referral,true,false,S2,free,,,Adviser 02,25 to 50 lakhs,1 to 5 crores,"Around 40%, some serious money",Legacy,2026-05-10,2026-05-10,,,,,,,,2026-05-13,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00454,false
P00457,Nithya,Gowda,9000028868,,Hyderabad,25 to 29,corporate_session,true,false,S2,free,,,Adviser 05,10 to 25 lakhs,5 to 25 lakhs,"More than 40%, I live well below my means",Legacy,2026-05-09,2026-05-10,,,,,,,,2026-05-13,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00457,false
P00458,Sindhu,Raman,9000058505,sindhu.raman.440@example.com,Bengaluru,25 to 29,corporate_session,false,false,S20,diwm,diwm,active,Adviser 06,10 to 25 lakhs,5 to 25 lakhs,"More than 40%, I live well below my means",Freedom,2026-05-10,2026-05-10,2026-05-30,2026-06-17,2026-06-17,2026-06-18,,2026-12-14,2026-09-27,2026-09-22,100,verified,not_connected,read,executing,3,7,,yes,0,2026-06-17T09:37:22+05:30,,off,,100,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00458,false
