Deal External ID,Contact External ID,Deal Name,SKU,Period,Amount,GST Type,Payment Method,Coupon,Razorpay Customer Id,Razorpay Subscription or Txn Id,Mandate Status,Start,Next Billing,Status,Grace Until,Retry Count,Calls Included Per Period,Calls Used,Cancel Reason,Refund Requested,Refund Status
DL-02012-1,P02012,"DIY quarterly, Shruti Trivedi",diy,quarterly,Rs ___,cgst_sgst,netbanking,,cust_SEED02012,pay_SEED020121,none (charged per period),2026-08-09,2026-11-07,active,,0,0,0,,false,
DL-02043-1,P02043,"DIY monthly, Urvi Shinde",diy,monthly,Rs ___,cgst_sgst,netbanking,,cust_SEED02043,pay_SEED020431,none (charged per period),2026-08-14,2026-10-13,active,,0,0,0,,false,
DL-02068-1,P02068,"DIWM monthly, Ayesha Sethi",diwm,monthly,Rs ___,igst,upi,,cust_SEED02068,sub_SEED020681,active,2026-08-16,2026-10-15,active,,0,N,0,,false,
DL-02073-1,P02073,"DIWM quarterly, Divakar Varma",diwm,quarterly,Rs ___,igst,upi,,cust_SEED02073,sub_SEED020731,active,2026-08-21,2026-11-19,active,,0,N,0,,false,
DL-02106-1,P02106,"DIY quarterly, Varsha Raman",diy,quarterly,Rs ___,igst,upi,,cust_SEED02106,sub_SEED021061,active,2026-09-05,2026-12-04,active,,0,0,0,,false,
DL-02130-1,P02130,"DIY quarterly, Lakshmi Iyengar",diy,quarterly,Rs ___,igst,netbanking,,cust_SEED02130,pay_SEED021301,none (charged per period),2026-08-22,2026-11-20,active,,0,0,0,,false,
DL-02139-1,P02139,"DIY monthly, Suresh Iyengar",diy,monthly,Rs ___,igst,upi,,cust_SEED02139,sub_SEED021391,active,2026-09-15,,cancelled,,0,0,0,Found an adviser elsewhere,true,pending (brief H5: to be decided)
DL-02141-1,P02141,"DIWM monthly, Sourav Sahoo",diwm,monthly,Rs ___,igst,upi,,cust_SEED02141,sub_SEED021411,active,2026-08-16,2026-10-15,active,,0,N,0,,false,
DL-02167-1,P02167,"DIWM monthly, Ramya Murthy",diwm,monthly,Rs ___,igst,netbanking,,cust_SEED02167,pay_SEED021671,none (charged per period),2026-08-26,2026-09-25,active,,0,N,0,,false,
DL-02190-1,P02190,"DIWM monthly, Keerthana Srinivasan",diwm,monthly,Rs ___,igst,netbanking,,cust_SEED02190,pay_SEED021901,none (charged per period),2026-08-26,2026-09-25,active,,0,N,0,,false,
DL-02192-1,P02192,"DIWM quarterly, Divya Agarwal",diwm,quarterly,Rs ___,igst,upi,,cust_SEED02192,sub_SEED021921,active,2026-09-19,2026-12-18,active,,0,N,0,,false,
DL-02234-1,P02234,"DIY quarterly, Ruchi Chopra",diy,quarterly,Rs ___,igst,netbanking,,cust_SEED02234,pay_SEED022341,none (charged per period),2026-08-23,2026-11-21,active,,0,0,0,,false,
DL-02278-1,P02278,"DIWM quarterly, Bhavana Reddy",diwm,quarterly,Rs ___,igst,upi,,cust_SEED02278,sub_SEED022781,active,2026-08-29,2026-11-27,active,,0,N,0,,false,
DL-02279-1,P02279,"DIWM monthly, Siddharth Shah",diwm,monthly,Rs ___,igst,upi,,cust_SEED02279,sub_SEED022791,active,2026-09-18,2026-10-18,active,,0,N,0,,false,
DL-02297-1,P02297,"DIWM monthly, Suresh Krishnan",diwm,monthly,Rs ___,igst,netbanking,,cust_SEED02297,pay_SEED022971,none (charged per period),2026-08-25,2026-09-24,active,,0,N,0,,false,
DL-02342-1,P02342,"DIWM monthly, Mihir Apte",diwm,monthly,Rs ___,cgst_sgst,upi,,cust_SEED02342,sub_SEED023421,active,2026-09-18,2026-10-18,active,,0,N,0,,false,
DL-02378-1,P02378,"DIWM monthly, Meera Mehra",diwm,monthly,Rs ___,igst,upi,,cust_SEED02378,sub_SEED023781,active,2026-09-15,2026-10-15,active,,0,N,0,,false,
DL-02387-1,P02387,"DIWM quarterly, Nishant Jain",diwm,quarterly,Rs ___,cgst_sgst,upi,,cust_SEED02387,sub_SEED023871,active,2026-09-18,2026-12-17,active,,0,N,0,,false,
DL-02402-1,P02402,"DIWM quarterly, Deepak Chauhan",diwm,quarterly,Rs ___,igst,netbanking,,cust_SEED02402,pay_SEED024021,none (charged per period),2026-08-27,2026-11-25,active,,0,N,1,,false,
DL-02403-1,P02403,"DIWM monthly, Moumita Saha",diwm,monthly,Rs ___,igst,upi,,cust_SEED02403,sub_SEED024031,active,2026-08-30,2026-09-29,active,,0,N,0,,false,
DL-02405-1,P02405,"DIY quarterly, Yogesh Shah",diy,quarterly,Rs ___,none,netbanking,SEEDZERO,cust_SEED02405,pay_SEED024051,none (charged per period),2026-09-19,2026-12-18,active,,0,0,0,,false,
DL-02425-1,P02425,"DIWM monthly, Jigar Desai",diwm,monthly,Rs ___,cgst_sgst,upi,,cust_SEED02425,sub_SEED024251,active,2026-09-03,2026-10-03,active,,0,N,1,,false,
DL-02430-1,P02430,"DIWM quarterly, Heena Trivedi",diwm,quarterly,Rs ___,cgst_sgst,upi,,cust_SEED02430,sub_SEED024301,active,2026-08-29,2026-11-27,active,,0,N,0,,false,
DL-02431-1,P02431,"DIWM monthly, Janani Kumar",diwm,monthly,Rs ___,igst,upi,,cust_SEED02431,sub_SEED024311,active,2026-09-05,2026-10-05,active,,0,N,0,,false,
DL-02432-1,P02432,"DIWM monthly, Ananya Bose",diwm,monthly,Rs ___,igst,upi,,cust_SEED02432,sub_SEED024321,active,2026-08-31,2026-09-30,active,,0,N,0,,false,
DL-02458-1,P02458,"DIWM quarterly, Biswajit Sahoo",diwm,quarterly,Rs ___,igst,netbanking,,cust_SEED02458,pay_SEED024581,none (charged per period),2026-09-03,2026-12-02,active,,0,N,0,,false,
DL-02520-1,P02520,"DIY monthly, Sandeep Nair",diy,monthly,Rs ___,igst,upi,,cust_SEED02520,sub_SEED025201,active,2026-09-03,2026-10-03,active,,0,0,0,,false,
DL-02549-1,P02549,"DIWM monthly, Rohit Patil",diwm,monthly,Rs ___,igst,upi,,cust_SEED02549,sub_SEED025491,active,2026-09-03,2026-10-03,active,,0,N,0,,false,
DL-02550-1,P02550,"DIWM monthly, Sanjana Pandey",diwm,monthly,Rs ___,igst,upi,,cust_SEED02550,sub_SEED025501,active,2026-09-16,2026-10-16,active,,0,N,0,,false,
DL-02551-1,P02551,"DIWM quarterly, Vidya Iyengar",diwm,quarterly,Rs ___,igst,upi,,cust_SEED02551,sub_SEED025511,active,2026-09-05,2026-12-04,active,,0,N,1,,false,
DL-02581-1,P02581,"DIWM monthly, Meera Khanna",diwm,monthly,Rs ___,igst,upi,,cust_SEED02581,sub_SEED025811,pending,2026-09-20,,pending_mandate,,0,N,0,,false,
DL-02620-1,P02620,"DIWM monthly, Shalini Varma",diwm,monthly,Rs ___,igst,upi,,cust_SEED02620,sub_SEED026201,active,2026-09-18,2026-10-18,active,,0,N,0,,false,
DL-02657-1,P02657,"DIWM monthly, Suresh Naidu",diwm,monthly,Rs ___,igst,upi,,cust_SEED02657,sub_SEED026571,active,2026-09-17,2026-10-17,active,,0,N,0,,false,
DL-02659-1,P02659,"DIWM quarterly, Arun Menon",diwm,quarterly,Rs ___,igst,upi,,cust_SEED02659,sub_SEED026591,active,2026-09-16,2026-12-15,active,,0,N,0,,false,
DL-02662-1,P02662,"DIY quarterly, Ketan Shinde",diy,quarterly,Rs ___,cgst_sgst,netbanking,,cust_SEED02662,pay_SEED026621,none (charged per period),2026-09-09,,cancelled,,0,0,0,Not what I expected,true,pending (brief H5: to be decided)
DL-02686-1,P02686,"DIWM quarterly, Gayathri Rajan",diwm,quarterly,Rs ___,igst,upi,,cust_SEED02686,sub_SEED026861,pending,2026-09-21,,pending_mandate,,0,N,0,,false,
DL-02696-1,P02696,"DIY quarterly, Arjun Khanna",diy,quarterly,Rs ___,igst,upi,,cust_SEED02696,sub_SEED026961,active,2026-09-11,2026-12-10,active,,0,0,0,,false,
DL-02710-1,P02710,"DIY monthly, Divya Bansal",diy,monthly,Rs ___,igst,upi,,cust_SEED02710,sub_SEED027101,active,2026-09-13,2026-10-13,active,,0,0,0,,false,
DL-02736-1,P02736,"DIY quarterly, Lakshmi Raman",diy,quarterly,Rs ___,igst,upi,,cust_SEED02736,sub_SEED027361,active,2026-09-15,2026-12-14,active,,0,0,0,,false,
DL-02750-1,P02750,"DIWM quarterly, Moumita Chakraborty",diwm,quarterly,Rs ___,igst,upi,,cust_SEED02750,sub_SEED027501,active,2026-09-14,2026-12-13,active,,0,N,0,,false,
DL-02751-1,P02751,"DIY quarterly, Hetal Joshi",diy,quarterly,Rs ___,cgst_sgst,netbanking,,cust_SEED02751,pay_SEED027511,none (charged per period),2026-09-16,2026-12-15,active,,0,0,1,,false,
DL-02768-1,P02768,"DIY monthly, Sagar Mehta",diy,monthly,Rs ___,cgst_sgst,upi,,cust_SEED02768,sub_SEED027681,active,2026-09-17,2026-10-17,active,,0,0,0,,false,
DL-02780-1,P02780,"DIWM quarterly, Priya Chauhan",diwm,quarterly,Rs ___,igst,upi,,cust_SEED02780,sub_SEED027801,active,2026-09-15,2026-12-14,active,,0,N,0,,false,
DL-02785-1,P02785,"DIWM monthly, Rohan Gill",diwm,monthly,Rs ___,igst,upi,,cust_SEED02785,sub_SEED027851,active,2026-09-16,,cancelled,,0,N,0,Too expensive for me right now,true,pending (brief H5: to be decided)
DL-02787-1,P02787,"DIY monthly, Janani Natarajan",diy,monthly,Rs ___,igst,upi,,cust_SEED02787,sub_SEED027871,active,2026-09-18,2026-10-18,active,,0,0,0,,false,
DL-02794-1,P02794,"DIY monthly, Gayathri Rao",diy,monthly,Rs ___,igst,netbanking,,cust_SEED02794,pay_SEED027941,none (charged per period),2026-09-16,2026-10-16,active,,0,0,0,,false,
DL-02803-1,P02803,"DIY monthly, Aniket Patil",diy,monthly,Rs ___,cgst_sgst,upi,,cust_SEED02803,sub_SEED028031,active,2026-09-21,2026-10-21,active,,0,0,0,,false,
DL-02807-1,P02807,"DIY monthly, Vishnu Pillai",diy,monthly,Rs ___,igst,upi,,cust_SEED02807,sub_SEED028071,pending,2026-09-22,,pending_mandate,,0,0,0,,false,
DL-02808-1,P02808,"DIWM quarterly, Shreyasi Pradhan",diwm,quarterly,Rs ___,igst,upi,,cust_SEED02808,sub_SEED028081,active,2026-09-22,2026-12-21,active,,0,N,0,,false,
DL-02821-1,P02821,"DIWM monthly, Rajarshi Sahoo",diwm,monthly,Rs ___,igst,upi,,cust_SEED02821,sub_SEED028211,active,2026-09-15,2026-10-15,active,,0,N,0,,false,
DL-02822-1,P02822,"DIY quarterly, Janani Reddy",diy,quarterly,Rs ___,igst,netbanking,,cust_SEED02822,pay_SEED028221,none (charged per period),2026-09-16,2026-12-15,active,,0,0,0,,false,
DL-02824-1,P02824,"DIY monthly, Aakash Saxena",diy,monthly,Rs ___,igst,upi,,cust_SEED02824,sub_SEED028241,pending,2026-09-21,,pending_mandate,,0,0,0,,false,
DL-02839-1,P02839,"DIY quarterly, Heena Shah",diy,quarterly,Rs ___,cgst_sgst,netbanking,,cust_SEED02839,pay_SEED028391,none (charged per period),2026-09-19,,cancelled,,0,0,0,Not what I expected,true,pending (brief H5: to be decided)
DL-02843-1,P02843,"DIWM quarterly, Aravind Hegde",diwm,quarterly,Rs ___,igst,upi,,cust_SEED02843,sub_SEED028431,active,2026-09-20,2026-12-19,active,,0,N,0,,false,
DL-02846-1,P02846,"DIY monthly, Anand Murthy",diy,monthly,Rs ___,igst,netbanking,,cust_SEED02846,pay_SEED028461,none (charged per period),2026-09-16,2026-10-16,active,,0,0,0,,false,
DL-02847-1,P02847,"DIY monthly, Sakshi Rathore",diy,monthly,Rs ___,igst,netbanking,,cust_SEED02847,pay_SEED028471,none (charged per period),2026-09-18,2026-10-18,active,,0,0,0,,false,
DL-02861-1,P02861,"DIWM monthly, Tejas Joshi",diwm,monthly,Rs ___,igst,netbanking,,cust_SEED02861,pay_SEED028611,none (charged per period),2026-09-18,2026-10-18,active,,0,N,0,,false,
DL-02862-1,P02862,"DIWM monthly, Nikhil Pandey",diwm,monthly,Rs ___,igst,upi,,cust_SEED02862,sub_SEED028621,active,2026-09-15,2026-10-15,active,,0,N,0,,false,
DL-02865-1,P02865,"DIWM quarterly, Kabir Khanna",diwm,quarterly,Rs ___,igst,upi,,cust_SEED02865,sub_SEED028651,active,2026-09-16,2026-12-15,active,,0,N,0,,false,
DL-02873-1,P02873,"DIWM monthly, Rahul Verma",diwm,monthly,Rs ___,igst,upi,,cust_SEED02873,sub_SEED028731,active,2026-09-18,2026-10-18,active,,0,N,0,,false,
DL-02874-1,P02874,"DIWM monthly, Pavithra Krishnan",diwm,monthly,Rs ___,igst,netbanking,,cust_SEED02874,pay_SEED028741,none (charged per period),2026-09-19,2026-10-19,active,,0,N,0,,false,
DL-02875-1,P02875,"DIY monthly, Anjali Srivastava",diy,monthly,Rs ___,igst,upi,,cust_SEED02875,sub_SEED028751,active,2026-09-18,2026-10-18,active,,0,0,0,,false,
DL-02876-1,P02876,"DIY quarterly, Sakshi Singh",diy,quarterly,Rs ___,igst,netbanking,,cust_SEED02876,pay_SEED028761,none (charged per period),2026-09-19,2026-12-18,active,,0,0,0,,false,
DL-02900-1,P02900,"DIWM monthly, Sourav Nayak",diwm,monthly,Rs ___,igst,upi,,cust_SEED02900,sub_SEED029001,active,2026-09-17,2026-10-17,active,,0,N,0,,false,
DL-02901-1,P02901,"DIY monthly, Pavithra Kumar",diy,monthly,Rs ___,igst,upi,,cust_SEED02901,sub_SEED029011,active,2026-09-19,2026-10-19,active,,0,0,0,,false,
DL-02905-1,P02905,"DIY monthly, Varsha Shetty",diy,monthly,Rs ___,igst,netbanking,,cust_SEED02905,pay_SEED029051,none (charged per period),2026-09-18,2026-10-18,active,,0,0,0,,false,
DL-02907-1,P02907,"DIY monthly, Madhura Pawar",diy,monthly,Rs ___,cgst_sgst,upi,,cust_SEED02907,sub_SEED029071,active,2026-09-17,,cancelled,,0,0,0,Not what I expected,true,pending (brief H5: to be decided)
DL-02909-1,P02909,"DIWM quarterly, Keerthana Subramanian",diwm,quarterly,Rs ___,igst,netbanking,,cust_SEED02909,pay_SEED029091,none (charged per period),2026-09-20,2026-12-19,active,,0,N,0,,false,
DL-02923-1,P02923,"DIWM monthly, Meenakshi Kumar",diwm,monthly,Rs ___,igst,upi,,cust_SEED02923,sub_SEED029231,active,2026-09-21,2026-10-21,active,,0,N,0,,false,
DL-02934-1,P02934,"DIY quarterly, Pranali Chitale",diy,quarterly,Rs ___,cgst_sgst,netbanking,,cust_SEED02934,pay_SEED029341,none (charged per period),2026-09-18,2026-12-17,active,,0,0,0,,false,
DL-03024-1,P03024,"DIWM quarterly, Madhav Krishnan",diwm,quarterly,Rs ___,igst,netbanking,,cust_SEED03024,pay_SEED030241,none (charged per period),2026-09-22,2026-12-21,active,,0,N,0,,false,
